,locality,Locality Latitude,Locality Longitude,Ward,Ward Code
127,Saint George,51.458130691358015,-2.5385552469135804,St George Troopers Hill,E05010911
128,Cotham,51.466995714285716,-2.596374071428571,Cotham,E05010895
129,Montpelier,51.46786662962962,-2.5854882962962966,Ashley,E05010885
130,Saint Andrews,51.4712805,-2.588771666666667,Ashley,E05010885
131,Bristol,51.459642637334426,-2.59351473159462,Clifton Down,E05010894
132,Cotham,51.466995714285716,-2.596374071428571,Redland,E05010909
133,Cotham,51.466995714285716,-2.596374071428571,Clifton Down,E05010894
134,Durdham Park,51.473739,-2.615622,Redland,E05010909
135,Redland,51.47012566666667,-2.606286883333333,Cotham,E05010895
136,Redland,51.47012566666667,-2.606286883333333,Clifton Down,E05010894
137,Redland,51.47012566666667,-2.606286883333333,Redland,E05010909
138,Westbury Park,51.47994919999999,-2.6093444333333338,Westbury-on-Trym and Henleaze,E05010917
139,Westbury Park,51.47994919999999,-2.6093444333333338,Redland,E05010909
140,Bristol,51.459642637334426,-2.59351473159462,Clifton,E05010893
141,Clifton,51.45935165909091,-2.614886221590909,Clifton,E05010893
142,Clifton,51.45935165909091,-2.614886221590909,Central,E05010892
143,Clifton,51.45935165909091,-2.614886221590909,Clifton Down,E05010894
144,Clifton,51.45935165909091,-2.614886221590909,Hotwells and Harbourside,E05010905
145,Tyndalls Park,51.45812014285715,-2.6068331428571425,Central,E05010892
146,Clifton Wood,51.4510975,-2.6097115000000004,Clifton,E05010893
147,Hotwells,51.449275,-2.618631,Hotwells and Harbourside,E05010905
148,Bristol,51.459642637334426,-2.59351473159462,Stoke Bishop,E05010916
149,Sneyd Park,51.472717,-2.633919,Stoke Bishop,E05010916
150,Stoke Bishop,51.47691345454544,-2.6313549545454546,Stoke Bishop,E05010916
151,Coombe Dingle,51.495612900000005,-2.6424288999999996,Avonmouth and Lawrence Weston,E05010886
152,Sea Mills,51.48834925,-2.6487575000000003,Stoke Bishop,E05010916
153,Henleaze,51.488430136363625,-2.603974772727273,Westbury-on-Trym and Henleaze,E05010917
