,name,latitude,longitude,Venue,Venue Id,Venue Latitude,Venue Longitude,Venue postalCode,Venue Category
57,Cotham,51.4653,-2.6012,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant
58,Cotham,51.4653,-2.6012,Brewhouse & Kitchen,54f8b36e498e754ce4ddd03c,51.464018,-2.608344,BS6 6LT,Gastropub
59,Cotham,51.4653,-2.6012,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant
60,Cotham,51.4653,-2.6012,The Social,4c8a78e01797236a82fe6188,51.46488869426382,-2.5899540447601903,BS6 5RW,Gastropub
61,Crofts End,51.475,-2.5574,crossed hands,51c6f0fd498ea04560582d09,51.47771072387695,-2.5634734630584717,,Gastropub
62,Easton,51.45909,-2.56993,Chophouse,4bb8f615cf2fc9b69113a002,51.458101,-2.584025,BS1 3EN,Steakhouse
63,Eastville,51.475,-2.5574,crossed hands,51c6f0fd498ea04560582d09,51.47771072387695,-2.5634734630584717,,Gastropub
64,Fishponds,51.4805,-2.5241,The Old Post Office,4bd70f40cfa7b713778d28da,51.47915299809703,-2.5321411010099677,,Gastropub
65,Golden Hill,51.4876,-2.5951,The Wellington,4b9d065ff964a5206d8936e3,51.48879977695577,-2.5852839398352256,BS7 8UR,Gastropub
66,Henleaze,51.49,-2.5989,The Wellington,4b9d065ff964a5206d8936e3,51.48879977695577,-2.5852839398352256,BS7 8UR,Gastropub
67,Hillfields,51.4747,-2.5188,Causeway Fish Bar,4e74c53a62e1263516185eac,51.47141028267213,-2.52419076499762,,Seafood Restaurant
68,Horfield,51.49,-2.5805,The Wellington,4b9d065ff964a5206d8936e3,51.48879977695577,-2.5852839398352256,BS7 8UR,Gastropub
69,Hotwells,51.45,-2.62,Cote,4d30a83296fe6ea80c421744,51.455972088738356,-2.621580444620954,BS8 4JG,French Restaurant
70,Hotwells,51.45,-2.62,Bar Forty Four Tapas Y Copas,5b65fc9f83e380002cba4057,51.454197,-2.618218,BS8 4HG,Tapas Restaurant
71,Hotwells,51.45,-2.62,New Moon Cafe,5570885d498e99a4a7ec8cd9,51.454833,-2.620588,,Tapas Restaurant
72,Hotwells,51.45,-2.62,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant
73,Kensington Park,51.4316,-2.5536,The Knowle,5648aa54498e6d7530bdd35b,51.43464281419301,-2.5621776997766825,,Gastropub
74,Kingsdown,51.468,-2.613,The Spiny Lobster,54f8b936498e18d291786c04,51.468879333842295,-2.6138225555078534,,Seafood Restaurant
75,Kingsdown,51.468,-2.613,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant
76,Kingsdown,51.468,-2.613,Brewhouse & Kitchen,54f8b36e498e754ce4ddd03c,51.464018,-2.608344,BS6 6LT,Gastropub
77,Kingsdown,51.468,-2.613,The Ox Clifton,5690138b38fa7ef44d355842,51.467233,-2.612135,,Steakhouse
78,Kingsdown,51.468,-2.613,Fishminster,4cdecd6df8a4a14317bbd9bc,51.464824,-2.609947,,Seafood Restaurant
79,Knowle,51.434,-2.5721,The Knowle,5648aa54498e6d7530bdd35b,51.43464281419301,-2.5621776997766825,,Gastropub
80,Knowle,51.434,-2.5721,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant
81,Lawrence Hill,51.457,-2.57,Chophouse,4bb8f615cf2fc9b69113a002,51.458101,-2.584025,BS1 3EN,Steakhouse
82,Lodge Hill,51.4693,-2.5145,Causeway Fish Bar,4e74c53a62e1263516185eac,51.47141028267213,-2.52419076499762,,Seafood Restaurant
83,Mayfield Park,51.4805,-2.5241,The Old Post Office,4bd70f40cfa7b713778d28da,51.47915299809703,-2.5321411010099677,,Gastropub
84,Montpelier,51.46786662962962,-2.5854882962962966,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant
85,Montpelier,51.46786662962962,-2.5854882962962966,The Social,4c8a78e01797236a82fe6188,51.46488869426382,-2.5899540447601903,BS6 5RW,Gastropub
86,Montpelier,51.46786662962962,-2.5854882962962966,The Grace,53bc174c498eb3d61c9139c5,51.475253430705735,-2.5909394494923603,,Gastropub
87,Redcliffe,51.4478,-2.5895,Pasture,5aa6dc43c47cf935e5100373,51.449447,-2.589127,BS1 6NB,Steakhouse
88,Redcliffe,51.4478,-2.5895,Chomp,547718c6498ec0beb58c68e3,51.45400595161092,-2.5925957109955555,BS1 1UQ,Steakhouse
89,Redcliffe,51.4478,-2.5895,Loch Fyne,4c41a66eaf052d7f719f7d79,51.45166776264764,-2.593049864899382,BS1 4HQ,Seafood Restaurant
